"Created by EDGAR Online, Inc.",,,,,,,,,
,,,,,,,,,
"NIKE, INC.",,,,,,,,,
TABLE8,,,,,,,,,
Form Type: 10-K,,,,,,,,,
"Period End: May 31, 2020",,,,,,,,,
"Date Filed: Jul 24, 2020",,,,,,,,,
Table Of Contents,,,,,,,,,
,,,,,,,,,
,SELECTED QUARTERLY FINANCIAL DATA,,,,,,,,
,(UNAUDITED),1ST QUARTER,,2ND QUARTER,,3RD QUARTER,,4TH QUARTER,
,"(In millions, except per",,,,,,,,
,share data),2020,2019,2020,2019,2020,2019,2020,2019
,Revenues(1)," $ 10,660 "," $ 9,948 "," $ 10,326 "," $ 9,374 "," $ 10,104 "," $ 9,611 "," $ 6,313 "," $ 10,184 "
,Gross profit," 4,871 "," 4,397 "," 4,544 "," 4,105 "," 4,473 "," 4,339 "," 2,353 "," 4,633 "
,Gross margin(1),45.70%,44.20%,44.00%,43.80%,44.30%,45.10%,37.30%,45.50%
,Net income (loss)(1)," 1,367 "," 1,092 "," 1,115 ", 847 , 847 ," 1,101 ",(790), 989 
,Earnings (loss) per common,,,,,,,,
,share:,,,,,,,,
,Basic, 0.87 , 0.69 , 0.71 , 0.54 , 0.54 , 0.70 ,(0.51), 0.63 
,Diluted, 0.86 , 0.67 , 0.70 , 0.52 , 0.53 , 0.68 ,(0.51), 0.62 
,Weighted average common,,,,,,,,
,shares outstanding," 1,562.40 "," 1,594.00 "," 1,560.60 "," 1,581.40 "," 1,556.30 "," 1,572.80 "," 1,555.70 "," 1,570.20 "
,Diluted weighted average,,,,,,,,
,common,,,,,,,,
,shares outstanding," 1,597.50 "," 1,634.40 "," 1,594.40 "," 1,620.70 "," 1,591.60 "," 1,609.60 "," 1,555.70 "," 1,607.50 "
,Cash dividends declared,,,,,,,,
,per,,,,,,,,
,common share, 0.22 , 0.20 , 0.25 , 0.22 , 0.25 , 0.22 , 0.25 , 0.22 